text
I blame bollywood for my unhealthy obsession to romanticise rain https://t.co/UKpJs8buYc
".@itanyachaudhari stuns in a saree in these stills!
.
.
#TanyaChaudhari https://t.co/9GKPSSsiSg"
"Prabhas banging bollywood movies in a clash is my fav genre 

https://t.co/RYVkq99zEU"
"This is a scene from a very popular Bollywood movie. In it, the main and beloved character is cussing out & insulting her white neighbour for no good reason in her language. Racism is SO normal among brown people against whites. In fact, I was often uncomfortable at how easily cousins and family members casually said the most vile stuff about white people at parties. Now that brown people are getting it handed back to them they’re upset. How do you say it? karma is a bitch?"
Bollywood is going to be wild. https://t.co/qCaow5Mt4B
"Tollywood  >>> Bollywood 
Repost if you agree. #Tollywood"
when the eyes say it all 💯🔥 https://t.co/sS3DKBic8L
"After watching #PehlaTuDujaTu from #SonOfSardaar2 today, this #ShraddhaKapoor video doesn’t even feel cringe anymore! 

Ye to Art hai 💯👏

https://t.co/G2hOV45Shu"
"2000s Bollywood songs &gt;&gt;&gt;&gt;
Hope you guys like this one 😊 https://t.co/0ky7yE1lEF"
One year since Bollywood dropped the Best action Film from India 💥 https://t.co/xhpHdbqarh
Bollywood Wouldn't really be Bollywood without this film https://t.co/TfgLsMogdx
the most iconic frame ever? 🤩 https://t.co/SRxPqwFv5o
I blame bollywood for my unhealthy obsession to romanticise rain https://t.co/UKpJs8buYc
".@itanyachaudhari stuns in a saree in these stills!
.
.
#TanyaChaudhari https://t.co/9GKPSSsiSg"
when the eyes say it all 💯🔥 https://t.co/sS3DKBic8L
"Prabhas banging bollywood movies in a clash is my fav genre 

https://t.co/RYVkq99zEU"
Bollywood is going to be wild. https://t.co/qCaow5Mt4B
"Tollywood  >>> Bollywood 
Repost if you agree. #Tollywood"
the most iconic frame ever? 🤩 https://t.co/SRxPqwFv5o
"Bollywood is F*cking back.
#Dhurandhar https://t.co/qKz9PlpkDM"
"Animation &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; Bollywood 
Hands down!
#BoycottBollywood 
#RamayanaMovie 
#animation
#Ramayana https://t.co/VP7tQ2frd8"
One year since Bollywood dropped the Best action Film from India 💥 https://t.co/xhpHdbqarh
"After watching #PehlaTuDujaTu from #SonOfSardaar2 today, this #ShraddhaKapoor video doesn’t even feel cringe anymore! 

Ye to Art hai 💯👏

https://t.co/G2hOV45Shu"
"Bollywood ruining everything.

Agree...?"
Most underrated bollywood actor. https://t.co/SQUKZJTvQI
".@itanyachaudhari stuns in a saree in these stills!
.
.
#TanyaChaudhari https://t.co/9GKPSSsiSg"
I blame bollywood for my unhealthy obsession to romanticise rain https://t.co/UKpJs8buYc
Bollywood is going to be wild. https://t.co/qCaow5Mt4B
when the eyes say it all 💯🔥 https://t.co/sS3DKBic8L
"Prabhas banging bollywood movies in a clash is my fav genre 

https://t.co/RYVkq99zEU"
"After watching #PehlaTuDujaTu from #SonOfSardaar2 today, this #ShraddhaKapoor video doesn’t even feel cringe anymore! 

Ye to Art hai 💯👏

https://t.co/G2hOV45Shu"
"I'm tellin' ya'll, Bollywood is the only way I'm accepting a live action adaption of Devil May Cry because it would actually be phenomenal."
"Well roasted 😂

KKR exposed Bollywood celebrities who supported so called Hindus and Hindutva 😂 https://t.co/xkaVbr8cZf"
